0,norms
"yogurt,UHT-milk,cream cheese,rolls/buns,brown bread,pastry,pickled vegetables,canned fish,cling film/bags","brown bread,canned fish,cling film bags,cream cheese,pastry,pickled vegetables,rolls buns,uht milk,yogurt"
"frankfurter,whole milk,yogurt,frozen fish,domestic eggs","domestic eggs,frankfurter,frozen fish,whole milk,yogurt"
"curd cheese,frozen meals","curd cheese,frozen meals"
"whole milk,cream cheese,domestic eggs,margarine,canned beer,long life bakery product,shopping bags","canned beer,cream cheese,domestic eggs,long life bakery product,margarine,shopping bags,whole milk"
"grapes,dessert,yogurt,beverages,frozen vegetables,canned beer","beverages,canned beer,dessert,frozen vegetables,grapes,yogurt"
"bottled water,bottled beer","bottled beer,bottled water"
"butter milk,sliced cheese","butter milk,sliced cheese"
"sliced cheese,rolls/buns,specialty chocolate","rolls buns,sliced cheese,specialty chocolate"
"fruit/vegetable juice,chocolate","chocolate,fruit vegetable juice"
female sanitary products,female sanitary products
"rolls/buns,canned beer","canned beer,rolls buns"
canned beer,canned beer
"pip fruit,butter milk,cream cheese,rolls/buns","butter milk,cream cheese,pip fruit,rolls buns"
"pip fruit,butter,rolls/buns,chocolate","butter,chocolate,pip fruit,rolls buns"
"rolls/buns,brown bread","brown bread,rolls buns"
beef,beef
"frozen fish,bottled beer","bottled beer,frozen fish"
"soda,specialty chocolate","soda,specialty chocolate"
canned beer,canned beer
tropical fruit,tropical fruit
"packaged fruit/vegetables,canned fish","canned fish,packaged fruit vegetables"
rolls/buns,rolls buns
canned beer,canned beer
"butter,domestic eggs,flour,soups,baking powder","baking powder,butter,domestic eggs,flour,soups"
"berries,soda,waffles","berries,soda,waffles"
"root vegetables,canned beer,candles,shopping bags","candles,canned beer,root vegetables,shopping bags"
"meat,brown bread,soda,misc. beverages,kitchen towels","brown bread,kitchen towels,meat,misc beverages,soda"
brown bread,brown bread
"citrus fruit,yogurt,UHT-milk,pastry,sauces,coffee,light bulbs","citrus fruit,coffee,light bulbs,pastry,sauces,uht milk,yogurt"
"whole milk,popcorn,specialty chocolate,specialty bar,candy","candy,popcorn,specialty bar,specialty chocolate,whole milk"
"soda,bottled beer,liquor,red/blush wine,shopping bags","bottled beer,liquor,red blush wine,shopping bags,soda"
"root vegetables,other vegetables,packaged fruit/vegetables,rolls/buns,canned beer,red/blush wine","canned beer,other vegetables,packaged fruit vegetables,red blush wine,rolls buns,root vegetables"
"tropical fruit,soda","soda,tropical fruit"
"root vegetables,other vegetables,whole milk,butter,frozen vegetables,sugar,bottled water,fruit/vegetable juice","bottled water,butter,frozen vegetables,fruit vegetable juice,other vegetables,root vegetables,sugar,whole milk"
"grapes,salty snack","grapes,salty snack"
"margarine,long life bakery product","long life bakery product,margarine"
"beef,frozen meals,dog food","beef,dog food,frozen meals"
"yogurt,rolls/buns,vinegar,margarine,sparkling wine","margarine,rolls buns,sparkling wine,vinegar,yogurt"
"butter,pastry,long life bakery product,shopping bags","butter,long life bakery product,pastry,shopping bags"
"rolls/buns,bottled water,specialty chocolate","bottled water,rolls buns,specialty chocolate"
"ham,other vegetables,hard cheese,pastry,chewing gum","chewing gum,ham,hard cheese,other vegetables,pastry"
"frankfurter,whole milk,yogurt,rolls/buns,margarine","frankfurter,margarine,rolls buns,whole milk,yogurt"
"root vegetables,other vegetables,whole milk,processed cheese,mayonnaise,domestic eggs,brown bread,oil,soda,long life bakery product,shopping bags","brown bread,domestic eggs,long life bakery product,mayonnaise,oil,other vegetables,processed cheese,root vegetables,shopping bags,soda,whole milk"
"brown bread,salty snack","brown bread,salty snack"
"hamburger meat,curd,hard cheese,flour,pasta,margarine,sugar,Instant food products,fruit/vegetable juice,chewing gum,hygiene articles,napkins","chewing gum,curd,flour,fruit vegetable juice,hamburger meat,hard cheese,hygiene articles,instant food products,margarine,napkins,pasta,sugar"
"frankfurter,tropical fruit,berries,butter milk,yogurt,whipped/sour cream,specialty cheese,rolls/buns","berries,butter milk,frankfurter,rolls buns,specialty cheese,tropical fruit,whipped sour cream,yogurt"
"beef,curd,frozen vegetables,frozen dessert,rolls/buns,coffee,newspapers,shopping bags","beef,coffee,curd,frozen dessert,frozen vegetables,newspapers,rolls buns,shopping bags"
"root vegetables,UHT-milk,ice cream,frozen potato products,bottled water,soda,bottled beer,specialty bar,napkins,shopping bags","bottled beer,bottled water,frozen potato products,ice cream,napkins,root vegetables,shopping bags,soda,specialty bar,uht milk"
"butter milk,specialty bar,napkins","butter milk,napkins,specialty bar"
"sausage,pork,tropical fruit,root vegetables,other vegetables,whole milk,curd,rolls/buns,soda","curd,other vegetables,pork,rolls buns,root vegetables,sausage,soda,tropical fruit,whole milk"
"tropical fruit,pastry,soda,chocolate","chocolate,pastry,soda,tropical fruit"
canned beer,canned beer
"sausage,whole milk,brown bread","brown bread,sausage,whole milk"
soda,soda
"tropical fruit,ketchup,shopping bags","ketchup,shopping bags,tropical fruit"
tropical fruit,tropical fruit
"whole milk,frozen meals,rolls/buns,pastry,sugar,soda","frozen meals,pastry,rolls buns,soda,sugar,whole milk"
"meat,nuts/prunes,canned beer","canned beer,meat,nuts prunes"
"beef,root vegetables,waffles,newspapers","beef,newspapers,root vegetables,waffles"
"chewing gum,seasonal products","chewing gum,seasonal products"
ice cream,ice cream
"other vegetables,soft cheese,specialty cheese,margarine,red/blush wine","margarine,other vegetables,red blush wine,soft cheese,specialty cheese"
frozen dessert,frozen dessert
"rolls/buns,bottled beer","bottled beer,rolls buns"
"tropical fruit,rolls/buns","rolls buns,tropical fruit"
"sausage,rolls/buns,soda","rolls buns,sausage,soda"
fruit/vegetable juice,fruit vegetable juice
"whole milk,cocoa drinks,shopping bags","cocoa drinks,shopping bags,whole milk"
"grapes,root vegetables,other vegetables,yogurt,white bread","grapes,other vegetables,root vegetables,white bread,yogurt"
"rolls/buns,margarine","margarine,rolls buns"
"other vegetables,whole milk,yogurt,whipped/sour cream,meat spreads,instant coffee,soda","instant coffee,meat spreads,other vegetables,soda,whipped sour cream,whole milk,yogurt"
"ham,pork,citrus fruit,pip fruit,root vegetables,other vegetables,butter milk,beverages,sliced cheese,frozen vegetables,frozen fish,oil,margarine,canned vegetables","beverages,butter milk,canned vegetables,citrus fruit,frozen fish,frozen vegetables,ham,margarine,oil,other vegetables,pip fruit,pork,root vegetables,sliced cheese"
"yogurt,dish cleaner,candles","candles,dish cleaner,yogurt"
"sausage,whole milk,margarine,waffles,candles","candles,margarine,sausage,waffles,whole milk"
cookware,cookware
"pastry,chocolate,chocolate marshmallow","chocolate,chocolate marshmallow,pastry"
"beverages,rolls/buns,fruit/vegetable juice","beverages,fruit vegetable juice,rolls buns"
bottled beer,bottled beer
"tropical fruit,whole milk","tropical fruit,whole milk"
"tropical fruit,whole milk,yogurt,rolls/buns,pastry,coffee,specialty chocolate","coffee,pastry,rolls buns,specialty chocolate,tropical fruit,whole milk,yogurt"
whole milk,whole milk
"pork,rolls/buns,margarine,canned beer,napkins","canned beer,margarine,napkins,pork,rolls buns"
canned beer,canned beer
"pork,frozen potato products,rolls/buns,pastry,soda,white wine","frozen potato products,pastry,pork,rolls buns,soda,white wine"
"ice cream,specialty bar","ice cream,specialty bar"
ice cream,ice cream
"packaged fruit/vegetables,whipped/sour cream","packaged fruit vegetables,whipped sour cream"
"frankfurter,UHT-milk,hard cheese,spread cheese,brown bread,pastry,bottled water,seasonal products,shopping bags","bottled water,brown bread,frankfurter,hard cheese,pastry,seasonal products,shopping bags,spread cheese,uht milk"
"yogurt,rolls/buns,specialty bar","rolls buns,specialty bar,yogurt"
"pork,pip fruit,other vegetables,yogurt,domestic eggs","domestic eggs,other vegetables,pip fruit,pork,yogurt"
"tropical fruit,pastry,fruit/vegetable juice","fruit vegetable juice,pastry,tropical fruit"
"spread cheese,brown bread,canned beer,red/blush wine","brown bread,canned beer,red blush wine,spread cheese"
pastry,pastry
"other vegetables,yogurt,whipped/sour cream,mayonnaise,domestic eggs,canned fruit,pet care,misc. beverages,sparkling wine","canned fruit,domestic eggs,mayonnaise,misc beverages,other vegetables,pet care,sparkling wine,whipped sour cream,yogurt"
"citrus fruit,pastry","citrus fruit,pastry"
"frankfurter,tropical fruit,pip fruit,sliced cheese,mayonnaise,domestic eggs,rolls/buns,fruit/vegetable juice,shopping bags","domestic eggs,frankfurter,fruit vegetable juice,mayonnaise,pip fruit,rolls buns,shopping bags,sliced cheese,tropical fruit"
"chicken,tropical fruit,onions,other vegetables,butter milk,yogurt,beverages,sliced cheese,hard cheese,rolls/buns,pastry,cereals,chocolate,napkins,house keeping products","beverages,butter milk,cereals,chicken,chocolate,hard cheese,house keeping products,napkins,onions,other vegetables,pastry,rolls buns,sliced cheese,tropical fruit,yogurt"
"sausage,ham,rolls/buns,soda,white wine","ham,rolls buns,sausage,soda,white wine"
"frankfurter,root vegetables,frozen vegetables,white bread,bathroom cleaner","bathroom cleaner,frankfurter,frozen vegetables,root vegetables,white bread"
"whole milk,pastry,semi-finished bread","pastry,semi finished bread,whole milk"
"frankfurter,sausage,chicken,citrus fruit,root vegetables,herbs,packaged fruit/vegetables,whole milk,salt,sugar,bottled beer,napkins","bottled beer,chicken,citrus fruit,frankfurter,herbs,napkins,packaged fruit vegetables,root vegetables,salt,sausage,sugar,whole milk"
"soda,bottled beer,shopping bags","bottled beer,shopping bags,soda"
"sausage,white bread,coffee,soda,shopping bags","coffee,sausage,shopping bags,soda,white bread"
"whole milk,specialty chocolate","specialty chocolate,whole milk"
"whole milk,dog food,cat food,soda,chocolate,napkins","cat food,chocolate,dog food,napkins,soda,whole milk"
"brown bread,sparkling wine","brown bread,sparkling wine"
UHT-milk,uht milk
"hamburger meat,other vegetables,napkins","hamburger meat,napkins,other vegetables"
"other vegetables,condensed milk,soda,newspapers","condensed milk,newspapers,other vegetables,soda"
"whole milk,coffee,chocolate,shopping bags","chocolate,coffee,shopping bags,whole milk"
"canned beer,waffles,chocolate","canned beer,chocolate,waffles"
canned beer,canned beer
"male cosmetics,napkins","male cosmetics,napkins"
bottled beer,bottled beer
newspapers,newspapers
whole milk,whole milk
"yogurt,canned beer","canned beer,yogurt"
frozen meals,frozen meals
other vegetables,other vegetables
whole milk,whole milk
"other vegetables,whole milk,whipped/sour cream,coffee,flower (seeds)","coffee,flower seeds ,other vegetables,whipped sour cream,whole milk"
soda,soda
"curd,dessert,rolls/buns,seasonal products,dishes","curd,dessert,dishes,rolls buns,seasonal products"
"whole milk,ice cream,prosecco","ice cream,prosecco,whole milk"
"bottled water,canned beer,white wine,specialty bar,shopping bags","bottled water,canned beer,shopping bags,specialty bar,white wine"
"citrus fruit,prosecco,specialty bar,shopping bags","citrus fruit,prosecco,shopping bags,specialty bar"
domestic eggs,domestic eggs
newspapers,newspapers
"hamburger meat,berries,dessert,whipped/sour cream,shopping bags","berries,dessert,hamburger meat,shopping bags,whipped sour cream"
detergent,detergent
cookware,cookware
"pork,root vegetables,herbs,whole milk,frozen vegetables,rolls/buns,sweet spreads,detergent,flower (seeds)","detergent,flower seeds ,frozen vegetables,herbs,pork,rolls buns,root vegetables,sweet spreads,whole milk"
canned beer,canned beer
"sausage,tropical fruit,cream cheese,pastry,bottled water","bottled water,cream cheese,pastry,sausage,tropical fruit"
"soft cheese,frozen meals,domestic eggs,rolls/buns,cat food","cat food,domestic eggs,frozen meals,rolls buns,soft cheese"
canned fruit,canned fruit
"frankfurter,ham,meat,pip fruit,berries,UHT-milk,soft cheese,sliced cheese,cream cheese,frozen vegetables,frozen fish,white bread,brown bread,sugar,sauces,sweet spreads,canned fish,pet care,fruit/vegetable juice,specialty bar,kitchen towels","berries,brown bread,canned fish,cream cheese,frankfurter,frozen fish,frozen vegetables,fruit vegetable juice,ham,kitchen towels,meat,pet care,pip fruit,sauces,sliced cheese,soft cheese,specialty bar,sugar,sweet spreads,uht milk,white bread"
"frankfurter,whole milk,rolls/buns,cling film/bags,shopping bags","cling film bags,frankfurter,rolls buns,shopping bags,whole milk"
"berries,yogurt,specialty cheese","berries,specialty cheese,yogurt"
ice cream,ice cream
"sausage,meat","meat,sausage"
"whole milk,yogurt,roll products","roll products,whole milk,yogurt"
UHT-milk,uht milk
whole milk,whole milk
"meat,frozen vegetables,soda","frozen vegetables,meat,soda"
"beef,citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,whipped/sour cream,cream cheese,rolls/buns,rice,vinegar,baking powder,detergent","baking powder,beef,citrus fruit,cream cheese,detergent,other vegetables,rice,rolls buns,root vegetables,tropical fruit,vinegar,whipped sour cream,whole milk"
"yogurt,salt,coffee,specialty bar,softener,hygiene articles","coffee,hygiene articles,salt,softener,specialty bar,yogurt"
"canned beer,shopping bags","canned beer,shopping bags"
"grapes,chocolate","chocolate,grapes"
whole milk,whole milk
"whole milk,domestic eggs","domestic eggs,whole milk"
canned beer,canned beer
"tropical fruit,pip fruit","pip fruit,tropical fruit"
"onions,oil,dog food,bottled water,dish cleaner,shopping bags","bottled water,dish cleaner,dog food,oil,onions,shopping bags"
"whole milk,butter milk,cream cheese,fruit/vegetable juice","butter milk,cream cheese,fruit vegetable juice,whole milk"
"chicken,butter","butter,chicken"
"other vegetables,roll products","other vegetables,roll products"
"citrus fruit,hard cheese","citrus fruit,hard cheese"
white wine,white wine
"pork,citrus fruit,tropical fruit,grapes,root vegetables,cream cheese,pet care,bottled water,fruit/vegetable juice,bottled beer","bottled beer,bottled water,citrus fruit,cream cheese,fruit vegetable juice,grapes,pet care,pork,root vegetables,tropical fruit"
